original,synthetic,label
Stephen Colbert to Jimmy Kimmel : Don ’ t feel bad for Spicer,"While preparing for Sunday night ’ s Emmy Awards in Los Angeles , Stephen Colbert paid a visit to his competition and sat down with Jimmy Kimmel . <EOS> <EOP> “ How exciting for America to see two talk show titans side by side ? ” Kimmel asked Colbert . <EOS> <EOP> “ You rarely see two middle-aged men talking on television anymore , ” Colbert replied , who then thanked Kimmel for having him on . <EOS> <EOP> The two discussed Kimmel ’ s interview with former White House press secretary Sean Spicer on Wednesday night , which Colbert enjoyed . <EOS> <EOP> The two also discussed Colbert ’ s late-night predecessor , David Letterman , and Kimmel was curious if the legendary late-night host had ever given him a tour of the Ed Sullivan Theater before he took over the show . <EOS> <EOP> When asked about the possibility of a public hearing , Senator Chuck Grassley ( R-Iowa ) didn ’ t give a definitive answer one way or another . <EOS> He merely said that they were “ going to talk to Sen. Feinstein about that , and make a decision after we talk to her. ” Grassley ’ s comments were non-committal , but most members of Congress , even his fellow Republicans , have expressed an interest in following all leads in the Russian investigation . <EOS> <EOP> Donald Jr. has insisted that nothing of importance was learned at the meeting , but not everyone is satisfied with his response . <EOS> During an interview with CNN , senator Dianne Feinstein ( D-Ca . <EOS> ) , the ranking Democrat on the Senate Judiciary Committee , said that she will make Donald Jr. testify in a public hearing before the Senate “ come hell or high water . ” <EOS> <EOP> Colbert said he met with Letterman in his office and asked him the important questions such as , “ where do you hide from your producers ? ” “ And he showed me a good place , ” he added . <EOS> “ Because you need to be able to get away from your producers because they want you to work , and sometimes , you don ’ t want to work. ” Watch more on their exchange about Letterman below . <EOS> ",1
"Angela Merkel Wins German Election , But Right-Wing Party Gains Seats In Parliament","Exit polls from Germany show Chancellor Angela Merkel winning another term , but her party did not do as well as expected — and a right-wing party won seats in Parliament for the first time . <EOS> ",0
"Trump did 'disrespect my son ' and his wife , soldier 's mom says","Despite his denials , President Trump showed obvious “ disrespect ” during a condolence call to the family of an Army sergeant killed in Niger , the soldier ’ s mother said Wednesday . <EOS> <EOP> Trump is facing mounting criticism for telling the widow of Sgt . <EOS> La David Johnson , one of four Americans killed nearly two weeks ago , that “ he knew what he signed up for ... but when it happens it hurts anyway . ” <EOS> <EOP> Trump called Johnson ’ s loved ones as they drove to Miami International Airport to meet his body . <EOS> <EOP> “ I was in the car and I heard the full conversation , ” the officer ’ s mother , Cowanda Jones-Johnson , told The Associated Press . <EOS> “ Not only did he disrespect my son , ” but he disrespected his wife and me and my husband . <EOS> <EOP> Trump also bashed the media for “ disparaging & demeaning my use of social media . ” <EOS> <EOP> The grieving mother ’ s account backs up that of Rep. Frederica Wilson ( D- Fla. ) , who first exposed Trump ’ s insensitive comments on Tuesday . <EOS> <EOP> The President responded with a defensive tweet , calling Wilson a liar and implying he had taped the call . <EOS> <EOP> “ Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action ( and I have proof ) . <EOS> Sad ! ” <EOS> <EOP> But Wilson did not back down from her account , adding that Trump at one point could not remember the slain sergeant ’ s name . <EOS> <EOP> Trump says soldier killed in Niger 'knew what he signed up for ' <EOS> <EOP> “ It ’ s disgraceful for him to even tweet about this , ” she told CNN . <EOS> <EOP> What ’ s worse , Wilson added during an appearance on MSNBC , Trump forgot Johnson ’ s name during the call . <EOS> <EOP> “ She was in tears , ” Wilson , who represents parts of northern Miami , said of Johnson ’ s pregnant widow , Myeshia . <EOS> “ She was in tears and she said he didn ’ t even remember his name ! ” <EOS> <EOP> Trump , appearing at the White House during a meeting with the senate finance committee , sat with his arms folded across his chest as he again denied Wilson ’ s account of the call . <EOS> <EOP> “ Didn ’ t say what that congresswoman said . <EOS> Didn ’ t say it at all . <EOS> She knows it , ” Trump said . <EOS> “ And I ’ d like her to make the statement again because I did not say what she said . ” <EOS> <EOP> The President ’ s recollection of the call contradicted both Wilson and Jones-Johnson ’ s version of events . <EOS> <EOP> “ I had a very nice conversation with the woman , with the wife who sounded like a lovely woman , ” Trump said . <EOS> “ Did not say what the congresswoman said and most people aren ’ t too surprised to hear that . ” <EOS> <EOP> Khan family bashes Trump for silence at soldiers ’ deaths in Niger <EOS> <EOP> Among other things , Trump attacked the press Sunday for its coverage of a special election in Montana and for using anonymous sources . <EOS> ( The White House frequently provides sources on the condition of anonymity . ) <EOS> <EOP> “ I still stand by my account of the call b/t @ realDonaldTrump and Myesha Johnson . <EOS> That is her name , Mr. Trump . <EOS> Not “ the woman ” or “ the wife , ” she tweeted . <EOS> <EOP> The flare up comes as Trump faces criticism from those who say he didn ’ t reach out to the soldiers ’ families soon enough . <EOS> <EOP> Instead , Trump pointed to the death of Marine Lt. Robert Kelly , son of White House Chief of Staff John Kelly , who died while fighting in Afghanistan in 2010 . <EOS> <EOP> Trump , speaking Tuesday with Fox News Radio , claimed President Obama never called Kelly , then a Marine general . <EOS> <EOP> It ’ s unclear what the commander in chief was trying to say . <EOS> After scrapping the tweet , Trump encouraged his followers to try to complete his initial thought . <EOS> <EOP> He also insinuated that past Presidents did not reach out to families of fallen soldiers as often as he has . <EOS> <EOP> But The Associated Press found relatives of two soldiers who died overseas during Trump ’ s presidency who said they never received a call or a letter from him , as well as relatives of a third who did not get a call . <EOS> <EOP> Veterans groups said they had no issues with past presidents recognizing soldiers killed in action . <EOS> <EOP> “ I don ’ t think there is any president I know of who hasn ’ t called families , ” said Rick Weidman , co-founder and executive director of Vietnam Veterans of America . <EOS> <EOP> “ President Obama called often and President Bush called often . <EOS> They also made regular visits to Walter Reed and Bethesda Medical Center , going in the evenings and on Saturdays . ” <EOS> <EOP> Trump ’ s politicization of the situation prompted Karen Meredith , the Gold Star and Military Families coordinator for VoteVets , who lost her son , First Lieutenant Ken Ballard , in Iraq , to issue an impassioned plea . <EOS> <EOP> “ Mr . <EOS> Trump , stop . <EOS> Please , just stop . <EOS> Your actions and words on this entire matter of the fallen in Niger is disgraceful , and unbecoming of a President of the United States and Commander in Chief , ” she said Wednesday . <EOS> “ This is not about you , it is about them . <EOS> It is about all of us who lost our loved ones , in war . <EOS> For once in your life , please stop making everything about you . <EOS> For once in your life , at least pretend to know what empathy is . <EOS> For once in your life , at least try to care about other people and their feelings . ” <EOS> <EOP> He was undoubtedly about to bash the media for its “ coverage ” of his White House . <EOS> But the tweet was not deleted until shortly before 6 a.m. — more than five hours after the fumbled initial thought , and after more than 127,000 retweets . <EOS> <EOP> A GoFundMe page set up for Johnson ’ s family has raised more than $ 334,000 in less than 24 hours . <EOS> <EOP> Trump angry that NFL isn ’ t going to ‘ force ’ players to stand <EOS> ",1
Rep. Chris Collins : ‘ I Will Be Carrying ’ Handgun at Future Public Events,"Rep. Chris Collins ( R. , N.Y. ) told WKBW-TV on Wednesday that he will carry his 9-millimeter handgun at future public events . <EOS> <EOP> Hours before the interview , a gunman who police identified as James T. Hodgkinson of Belleville , Ill. opened fire on Republican lawmakers practicing for the bipartisan congressional charity baseball game , wounding several people including House Majority Whip Steve Scalise ( R. , La . <EOS> ) . <EOS> ",0
Trump Just Blamed ‘ Both Sides ’ Again For C ’ ville . A Black GOP Senator ’ s Response Is Great,"A day after Donald Trump ’ s 40-minute Oval Office meeting with Senator Tim Scott of South Carolina , who is currently the only African American serving in the Senate , the president told reporters aboard Air Force One on the way back from Florida what a “ great talk ” they had . <EOS> <EOP> Trump was using his recollection of the conversation with Scott to defend his much-maligned remarks after Charlottesville comparing the KKK , Nazi and white supremacist protesters to the counter-protesters , saying there were good and bad people on both sides . <EOS> <EOP> Despite the president ’ s memory of their conversation , Scott is not one of those . <EOS> <EOP> The Senator put out his own statement today in response to Trump ’ s version . <EOS> <EOP> “ In yesterday ’ s meeting , ” said Scott in his statement , “ Senator Scott was very , very clear about the brutal history surrounding the white supremacist movement and their horrific treatment of black and other minority groups . <EOS> … the KKK and white supremacist groups have been killing and tormenting black Americans for centuries . <EOS> There is no realistic comparison . <EOS> Period . ” <EOS> <EOP> Scott said he didn ’ t expect Trump to suddenly change , and praised him for supporting the Senator ’ s legislation , the Investing in Opportunity Act , but the message was clear . <EOS> <EOP> Trump has not changed and what he said about there being good and bad people on both sides still is wrong in the Senators view . <EOS> <EOP> The Senator ’ s statement did not make note that a photo with Trump released after the Wednesday meeting by the White House got his name wrong , identifying him as “ Tom ” instead of Tim Scott . <EOS> <EOP> As usual , that is not the only thing about the meeting Trump got wrong . <EOS> He likes to twist things to make himself the hero but in this case he shows once again he is still the same racist fool he has always been . <EOS> <EOP> Download our NEW Occupy Democrats app for your iPhone by clicking here or for your Android by clicking here . <EOS> <EOP> Add your name to millions demanding that Congress take action on the President ’ s crimes . <EOS> IMPEACH DONALD TRUMP ! <EOS> <EOP> `` He categorically denies being the individual concerned and has irrefutable proof that he was in the United States at the time of the incident . <EOS> ",1
Don Jr . Deserves A Medal For How He Trolled Dems After Their Historic Loss In Special Elections,"With the results of two special elections going their way , Republicans had a good night Tuesday . <EOS> <EOP> Given all the attention and money spent on the special election in Georgia , it was a particularly good night to be a Republican named Trump , and the President ’ s oldest son , Donald Jr , took the opportunity to rub Democrats ’ noses in their losses . <EOS> <EOP> Don Jr. tweeted a jab a Ossoff and former Democratic Party presidential nominee Hillary Clinton , for spending a lot of money on losing campaigns . <EOS> <EOP> Before heading to bed for the night , Don Jr. offered Democrats some advice : stop obstructing and work with the President . <EOS> <EOP> Ossoff ’ s campaign alone spent more money on the race than any other Congressional election ever . <EOS> <EOP> Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience . <EOS> For licensing opportunities of our original content , please contact [ email protected ] <EOS> ",0
Double Shooting At Daycare Center – Children Take Cover In Bathroom ( DETAILS ),"Seven children trapped inside a daycare center took refuge inside a bathroom after their teacher came under gunfire on Monday . <EOS> The incident took place at an in-home daycare in Chula Vista , California after a man who once lived at the residence came back to retrieve a mattress he ’ d left there . <EOS> <EOP> When the woman running the daycare argued back with the man , he became enraged , tried to set fire to the structure , and broke out the sliding glass door at the back of the property . <EOS> The woman ’ s assistant rushed the children , whose ages ranged from 1 to 8 , into a bathroom in the home so she could continue to deal with the suspect . <EOS> <EOP> That is when the suspect fired his weapon at the daycare owner , at which time , she returned fire . <EOS> Both shots missed their targets and no one was injured . <EOS> <EOP> The man , 36 year old Gustavo Sepulveda is the ex boyfriend of the daycare owner . <EOS> He was arrested , and is now facing possible attempted murder charges . <EOS> <EOP> When police arrived , the daycare owner had fled the home , leaving Sepulveda inside , where he set more than one fire . <EOS> Police were able to arrest the suspect and rescue the children from the bathroom without incident . <EOS> <EOP> The new rule reinstates the ability of nursing homes to require forced arbitration agreements , yet purports to provide important—but completely insufficient—patient protections aimed at increasing transparency of a forced arbitration agreement . <EOS> For example , the new rule would require that forced arbitration agreements be written in “ plain language ” and that residents acknowledge that they understand the agreements before signing . <EOS> Regardless of how plain the language is , as potential nursing home residents and their families are weighing their options for long-term care , they should not also be expected to contemplate whether such a grave harm could arise , let alone what avenue of recourse they would pursue in the event that it does . <EOS> Too often , only after a resident has suffered an injury or death do families truly realize the impact of the arbitration agreements they were forced to sign . <EOS> The only truly transparent arbitration agreement is one that is voluntarily signed , after a dispute has arisen . <EOS> <EOP> The current proposal would also override existing state law protections aimed at protecting nursing home residents from the enforcement of one-sided contracts more broadly . <EOS> CMS ’ proposed overreach would completely eliminate resident choice on the issue of forced arbitration , and actually reinforces the facilities ’ superior bargaining power over residents during the admissions process – a harm that CMS acknowledged two years ago . <EOS> <EOP> Perhaps most alarming in the current proposal is the elimination of the current resident protections which prevent a nursing home from forcing residents to sign arbitration agreements as a condition of admission , including , as the current proposal suggests , as a condition of continued residency . <EOS> This could permit the most unscrupulous facilities to threaten current residents with removal from a facility for failure to sign a forced arbitration agreement . <EOS> <EOP> All children were picked up by family members , and no one was hurt other than Sepulveda , who was treated for cuts to his hands and feet after breaking the sliding door . <EOS> ",1
Ex-Nixon staffer says Trump Comey claims shows he broke protocol,"President Trump ’ s claims that FBI Director James Comey personally assured him on three occasions that he was not under investigation broke specific government protocols — but the commander-in-chief won ’ t be likely to face any penalties , former President Richard Nixon ’ s White House Counsel told the Daily News . <EOS> <EOP> John Dean , the Nixon staffer who helped expose the Watergate scandal that took down his boss ’ presidency , explained that guidelines exist to prevent the kind of discussions Trump allegedly had with Comey , because such talks can give the appearance of impropriety . <EOS> <EOP> A 2009 Justice Department memo signed by former Attorney General Eric Holder mandated that any communications “ of that ilk ” between the White House and the Department of Justice have a “ very prescribed route , ” Dean explained . <EOS> <EOP> Specifically , all Justice employees , including the FBI director , have to communicate with the White House through the attorney general or deputy attorney general , who , in turn , have to go through White House counsel . <EOS> <EOP> One shortcoming of the guideline , however is that “ it ’ s only a norm . ” <EOS> <EOP> “ It ’ s not a rule or regulation or law , ” Dean said . <EOS> “ There ’ s no formal sanction for violating it . ” <EOS> <EOP> In his termination letter Tuesday to Comey , Trump claimed that the former director informed Trump `` on three separate occasions , that I am not under investigation . '' <EOS> <EOP> During an interview with NBC News Thursday , Trump elaborated , alleging that Comey told him once over dinner and two other times on the phone . <EOS> <EOP> “ I said , ‘ If it ’ s possible would you let me know am I under investigation ? ’ He said ‘ You are not under investigation , ’ ” Trump said — a clear violation of the specific required routes of communication . <EOS> <EOP> When two parties break the protocol , it still raises questions over whether “ impropriety and/or political pressure ” had occurred , Dean explained . <EOS> <EOP> “ The reason it was put in place is because not following it looks awful , ” he said . <EOS> “ And all sorts of negative prospects could come from violating it . ” <EOS> <EOP> Questions bound to arise after such improper discussions could include , “ Is there criminal intent ” and “ is it bound to obstruct an investigation , ” Dean said . <EOS> <EOP> “ In most instances you can call a dozen prosecutors and probably get the same answer : Was it wrong for Trump to ask if he was under investigation ? <EOS> The answer is probably ‘ no , ’ ” he said . <EOS> <EOP> “ But would it be wrong for him to say or imply : I do n't want you to stay at the FBI if you ’ re investigating me ? <EOS> You bet , ” he added . <EOS> <EOP> Trump ’ s firing of Comey — who was leading a probe into the Trump campaign ’ s possible Russia ties — drew immediate comparisons to Nixon ’ s “ Saturday Night Massacre , ” when the besieged President fired special prosecutor Archibald Cox in 1973 . <EOS> U.S. Attorney General Elliot Richardson and Deputy Attorney General William Ruckelshaus resigned the same night . <EOS> <EOP> The Watergate scandal had been ballooning for more than a year at that point , and it would only explode from there . <EOS> Less than a year after the `` massacre , '' Nixon resigned . <EOS> <EOP> Dean implicated himself and other Nixon officials in the Watergate investigation and served four months in prison for his role . <EOS> ",0
Struggle to sell Pence event tix leads to price plummet ...,"Because of a lack of demand , the Colorado Republican Party is offering a Groupon-like deal to see Vice President Mike Pence . <EOS> <EOP> Pence is the headliner for a party fundraiser Oct. 26 at the Denver Marriott Tech Center , where the lowest-priced tickets originally cost $ 275 . <EOS> <EOP> The party announced the event weeks earlier but struggled to sell the tickets available . <EOS> So now it ’ s lowering the cheapest ticket to $ 150 , a 45 percent discount . <EOS> A couple can attend with a two-for-one deal at the original $ 275 price . <EOS> <EOP> Colorado Republican Party Chairman Jeff Hays tried to put his best spin on the news , writing in an email Wednesday : “ Due to popular demand , we have made more tickets available at a new lower price. ” But the same invite later says space is limited . <EOS> <EOP> Daniel Cole , the party ’ s spokesman , clarified : “ We are hearing from a lot of people that they very much want to see the vice president but the tickets were too expensive . ” <EOS> <EOP> He added : “ We couldn ’ t fill the large room at that ticket level . ” <EOS> <EOP> The party initially indicated it planned to sell 800 tickets but later said the expected attendance is 400 , a goal it expects to meet . <EOS> The room holds 900 for typical banquet events , according to the hotel . <EOS> <EOP> Cole declined to release the number of tickets sold to date , adding that he never expected the event to sell out because of the size of the room . <EOS> And he disputed the idea that ticket sales were a reflection on the Trump administration . <EOS> <EOP> The move to add cheaper tickets creates another tier of seating . <EOS> The original $ 275 ticket is now reserved seating “ in the best locations , ” Cole said . <EOS> The new , lower price is open seating . <EOS> Both tickets include dinner . <EOS> <EOP> “ All Republicans want to see the vice president , and many Republicans can ’ t afford the $ 275 ticket , ” he said , citing grumbling online from party activists since the fundraiser was announced . <EOS> <EOP> The top ticket for the event is $ 10,000 and includes a VIP reception , premier seating and a photo opportunity with Pence . <EOS> All the proceeds for the fundraiser go to the state party . <EOS> <EOP> Tax reform and other legislative promises he 's made like Obamacare repeal will only happen , though , Trump said if the people demand . <EOS> <EOP> 'Everyone 's saying , `` What 's she doing up here ? '' <EOS> But I 'll tell you what , good woman , and I think we 'll have your support . <EOS> I hope we 'll have your support , ' Trump told the endangered Democrat from the podium . <EOS> <EOP> Often political fundraisers are designed to be exclusive events , Cole said , but in this case “ our aim is to satisfy both — to do as much fundraising off of it as we can at the same time as allowing as many people as possible to see the event . ” <EOS> <EOP> 'So , there 's a little bit of hope there that maybe those three and others will see the light and will be able to go back to their states and say to their constituents , `` We know you needed tax reform and tax relief and we delivered it to you , '' ' a senior White House official said of their refusal to sign the letter . <EOS> <EOP> The ticket discount didn ’ t escape the eye of the Colorado Democratic Party . <EOS> “ I think it ’ s another indication of a lack of enthusiasm — right on the heels of a weak fundraising quarter for Republican candidates in Colorado , ” said party spokesman Eric Walker . <EOS> ",1
The Uruguayan prison where inmates set up shop,"Every weekday morning , Cesar Campo wakes up , eats a quick breakfast and heads to work in a converted warehouse where he builds tables , chairs , bookcases and anything else that clients request . <EOS> <EOP> Close by , his neighbours make bricks , grow vegetables and run shops such as cafes , a bakery , a barber 's salon and a tattoo studio . <EOS> <EOP> All the workers are inmates living at Punta de Rieles , a progressive `` open '' prison just outside the Uruguayan capital , Montevideo . <EOS> <EOP> `` We never imagined we would have something like this , '' said Campo , 50 , who has spent 23 years behind bars for bank robbery . <EOS> <EOP> `` It 's a model prison which offers opportunities you do n't find anywhere else . '' <EOS> <EOP> With incidents of prison violence recently hitting the headlines around Latin America , particularly in Brazil where more than 100 people died in January alone in a series of riots , the liberal philosophy behind Punta de Rieles offers an alternative view of how correctional institutions can be operated . <EOS> <EOP> Its director , Luis Parodi , is a former schoolteacher who believes that `` if the context changes , the man changes '' and who runs his prison based on three fundamental elements : work , education and culture . <EOS> <EOP> `` We want to provide the best daily life possible , so prisoners can sleep peacefully and do not feel humiliated , scared or fearful , '' Mr Parodi told the BBC . <EOS> <EOP> By creating a `` village '' which mimics the outside world as closely as conditions allow , he hopes to ease the rocky transition when prisoners return to freedom . <EOS> <EOP> Many of the 630 inmates at Punta de Rieles are approaching the end of their sentences . <EOS> <EOP> With the national re-offending rate estimated at around 50 % , Mr Parodi often tells departing prisoners to `` call me before you think about stealing something '' , and gives out his personal phone number . <EOS> <EOP> Uruguay 's prison population has more than doubled since 2000 . <EOS> Prisons are currently 9 % over their capacity . <EOS> <EOP> In this nation of 3.4 million inhabitants , 10,416 people were serving custodial sentences in 2016 . <EOS> <EOP> In 2009 , a UN Special Rapporteur expressed concern about the country 's penitentiary system , describing `` sub-human conditions '' in which inmates at one prison were held `` like animals in metal boxes '' for nearly 24 hours per day . <EOS> <EOP> At Punta de Rieles , prisoners can circulate freely within the prison boundaries until 19:00 . <EOS> <EOP> Many use mobile phones to stay in touch with the outside world , and some are allowed tablets or computers . <EOS> <EOP> Inside the cells , which are typically shared between four people , they are allowed to have televisions , games consoles , refrigerators and musical instruments . <EOS> <EOP> Families can visit three times per week , and overnight stays have been allowed since 2015 . <EOS> <EOP> In many cases , family members assist inmates who run businesses which sell their wares outside , like Cesar Campo 's carpentry workshop . <EOS> <EOP> Of 38 active `` companies '' , 35 were started by prisoners themselves , and another is run by several former inmates who still return to work at the prison . <EOS> <EOP> All business owners pay a small tax , which is used to provide micro-credit loans for inmates opening a new venture . <EOS> <EOP> Successful start-ups are also registered with Uruguayan tax authorities , and Luis Parodi 's latest initiative enables prisoners to open bank accounts from inside . <EOS> <EOP> Another of Mr Parodi 's unconventional ideas was to create a security force comprised almost entirely of unarmed female guards . <EOS> <EOP> `` At first I was scared , but not for long , '' said Ines Marcos , who has been working at Punta de Rieles for three-and-a-half years . <EOS> `` I would n't say we 're like their mothers , but we give the right advice , like a guide or a sister who helps them out . '' <EOS> <EOP> Sport and cultural activities are offered to complement education programmes . <EOS> <EOP> A colourful music studio in the main cell block rumbles with noise at all hours of the day as bands practise . <EOS> <EOP> `` Instead of staying inside , cutting your arms or building up rage against the police , we do something positive , '' said Santiago Garrido , 28 , who plays in a rock group and teaches guitar to fellow inmates . <EOS> <EOP> `` It 's a way of channelling our energy . <EOS> If we did n't do this , our heads would be thinking about other stuff , '' he added . <EOS> <EOP> `` The need to save ourselves is fundamental . '' <EOS> <EOP> Garrido 's group is currently working on an album that will be recorded at a studio outside the prison . <EOS> <EOP> With members of a theatre workshop , he frequently performs at other penitentiaries and in public , including a show at the Uruguayan parliament last year . <EOS> <EOP> Adriano Baraldo , 29 , is an actor and singer who is serving a 19-year sentence for armed robbery . <EOS> <EOP> `` I recognise that I 've done bad things , '' he says . <EOS> <EOP> `` I should n't have left my children [ to grow up like ] orphans . '' <EOS> <EOP> `` Prisons are the sewer of the capitalist system , but people can always learn to recycle themselves . '' <EOS> ",0
How To : Survive Finals Week,"The UNSC unanimously approved a new resolution on sanctions against Pyongyang on September 11 . <EOS> Following a series of behind-the-scenes negotiations Sunday , diplomats agreed not to ban oil exports into North Korea . <EOS> Instead , the ninth set of restrictive sanctions against Pyongyang authorized an annual cap of 2 million barrels of refined petroleum products to North Korea . <EOS> <EOP> If you were stupid enough to pursue higher education , this is the video you need . <EOS> ",1
CN Tower climber passes frozen bodies from last year ’ s climb,"TORONTO – Only halfway up its 1,776 steps , one participant in the CN tower charity climb is already passing the frozen bodies of those who didn ’ t make it last year . <EOS> <EOP> “ It ’ s hard to see all those frozen bodies in their T-shirts and spandex shorts , ” said climber Laura Gregg , taking a brief second to make the sign of the cross over one of the route ’ s many ice mummies . <EOS> “ But there ’ s nothing you can do for them . ” <EOS> <EOP> Although the frozen , warped and sunbleached bodies of former climbers line the route to the CN tower ’ s summit , some aspirational drive still causes thousands to attempt the ascent every year . <EOS> <EOP> “ Man was meant to go beyond , ” said Clark Horner , keeping his grip on the banister in spite of all that the furious elements could do to dislodge him . <EOS> “ Ex-cel-si-orrrrrr ! ” <EOS> <EOP> Horner was then picked up by a slight draft , and flung down 1,342 steps to his death . <EOS> <EOP> While many wish the city would do something about all the bodies , experienced climbers say it ’ s too difficult and dangerous to bring them down , and that it ’ s the kind of funeral plot any true climber would die for . <EOS> <EOP> “ This is what Jimmy would have wanted , ” said Gregg , crouching beside the frost-scaled body of her late climbing buddy , as a bird tried to peck one frozen eyeball out of the corpse ’ s head . <EOS> “ To die in the pursuit of the extraordinary is no death , but an eternal life . ” <EOS> <EOP> “ Do you have any Gatorade ? <EOS> I ’ m pretty thirsty . ” <EOS> <EOP> If Gregg makes it to the summit alive , she says it will be an even greater personal achievement than the time she rode her bike from the lake all the way up to Yonge and St. Clair . <EOS> ",0
Ivanka Trump ’ s Investment Fund Of Foreign And Corporate Cash Sounds Awfully Familiar,"“ We forget in the United States how long it has taken us to make ‘ We the People ’ mean people like me . <EOS> And indeed , I do think that America was born with a birth defect ; it was slavery . <EOS> “ And so I do think that when we were finally able to deliver the promise of the Constitution to people like me , little girls growing up in Birmingham , Alabama , when finally my father was able to vote without difficulty , yes , it ’ s the second founding of America . <EOS> The first founding wasn ’ t quite complete . ” <EOS> <EOP> WASHINGTON ―Ivanka Trump , the president ’ s daughter and White House adviser , plans to start a fund to help female entrepreneurs worldwide , using money from private-sector donors and foreign governments . <EOS> <EOP> According to Axios , the first to report the first daughter ’ s plan , the fund will be run by the World Bank . <EOS> “ Canadians , Germans and a few Middle Eastern countries have already made quiet commitments , as have several corporations , ” Axios previously reported . <EOS> The fund will provide “ working and growth capital to small- and medium-sized enterprises . ” <EOS> <EOP> Details are scarce . <EOS> It ’ s unclear whether Ivanka Trump will personally raise money from foreign governments and private corporations , or whether the White House counsel has considered whether her involvement conforms to ethics rules . <EOS> <EOP> Nevertheless , the Ivanka Trump-World Bank fund sounds like it will mimic the work of a private organization that got a lot of ( bad ) publicity in 2016 : the Clinton Foundation . <EOS> <EOP> The Clinton Foundation , which former President Bill Clinton launched after he left the White House in 2001 , is a nonprofit that runs developmental programs and facilitates private-sector investment in such public initiatives as fighting HIV/AIDS , combating climate change , reducing the impact of preventable disease , and empowering entrepreneurs ― including women and girls . <EOS> The Clinton Foundation is funded largely by contributions from wealthy donors , corporations and foreign governments . <EOS> <EOP> The foundation was seen as a major conflict of interest for Democratic presidential nominee Hillary Clinton , whose critics claimed her decisions as secretary of state benefitted foundation donors . <EOS> <EOP> Donald Trump , during the campaign , called the Clinton Foundation “ the most corrupt enterprise in political history. ” He attacked Clinton as “ the defender of the corrupt and rigged status quo ” who spent her time “ taking care of donors instead of the American people . ” <EOS> <EOP> A Trump campaign ad assailed the “ staggering amounts of cash pouring into the Clinton Foundation from criminals , dictators , countries that hate America. ” Those supposed America-hating countries included the United Arab Emirates , Qatar , Bahrain and Saudi Arabia ― formidable U.S. allies in the Middle East whose citizens contribute to other charitable funds connected to powerful Americans . <EOS> <EOP> Ivanka Trump ’ s fund also sounds like an effort from the investment bank Goldman Sachs called 10,000 Women , which provides business education to women around the world to spur entrepreneurship . <EOS> Dina Powell , an Ivanka Trump confidante who now works for the White House , headed the Goldman Sachs effort since it began in 2008 . <EOS> ( Ivanka Trump ’ s chief of staff is Julie Radford , who previously ran Goldman Sachs ’ 10,000 Small Business initiative , which invested in small U.S . <EOS> businesses . ) <EOS> <EOP> Donald Trump also attacked Clinton during the campaign for her ties to Goldman Sachs , including a $ 225,000 speech she gave to bank employees after she resigned as secretary of state . <EOS> Trump ’ s administration now includes at least six former Goldman Sachs executives . <EOS> <EOP> UPDATE : 5:20 p.m. ― The White House said Ivanka Trump will have no major role in the fund , according to The Washington Post . <EOS> <EOP> Sign up for the HuffPost Must Reads newsletter . <EOS> Each Sunday , we will bring you the best original reporting , long form writing and breaking news from The Huffington Post and around the web , plus behind-the-scenes looks at how it ’ s all made . <EOS> Click here to sign up ! <EOS> ",1
